[23:55:28] [main/INFO]: ModLauncher running: args [--username, JavaJoe, --version, forge-47.2.6, --gameDir, /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg, --assetsDir, /home/jibbo/Documents/curseforge/minecraft/Install/assets, --assetIndex, 5, --uuid, 2fc0b38173b8426b960fc1a589b261a3, --accessToken, ❄❄❄❄❄❄❄❄, --clientId, Mme/zS2FRlmnmC9ahARv2rxlW+TH7l2aiKKYUhjychkuvxGrdSRJZaRKxnXT0Oiq, --xuid, 2535450630550326, --userType, msa, --versionType, release, --width, 1024, --height, 768, --quickPlayPath, /home/jibbo/Documents/curseforge/minecraft/Install/quickPlay/java/1728618926937.json, --launchTarget, forgeclient, --fml.forgeVersion, 47.2.6, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412]
[23:55:28] [main/INFO]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.8 by Microsoft; OS Linux arch amd64 version 6.8.0-45-generic
[23:55:29] [main/INFO]: Found mod file AI-Improvements-1.20-0.5.2.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file AmbientSounds_FORGE_v6.1.1_mc1.20.1.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file appliedenergistics2-forge-15.2.13.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file architectury-9.2.14-forge.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file astikorcarts-1.20.1-1.1.8.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file AttributeFix-Forge-1.20.1-21.0.4.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file balm-forge-1.20.1-7.3.9-all.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file barrels_2012-2.1.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file BetterF3-7.0.2-Forge-1.20.1.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file betterfoliage-5.0.2.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file BetterPingDisplay-1.20.1-1.1.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file BetterThirdPerson-Forge-1.20-1.9.0.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file blur-forge-3.1.1.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file carpeted-1.20-1.4.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file carryon-forge-1.20.1-2.1.2.7.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file catalogue-forge-1.20.1-1.8.0.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file cc-tweaked-1.20.1-forge-1.113.1.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file chat_heads-0.13.3-forge-1.20.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file cherishedworlds-forge-6.1.6+1.20.1.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file clienttweaks-forge-1.20-11.1.0.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file cloth-config-11.1.136-forge.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file Clumps-forge-1.20.1-12.0.0.4.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file Controlling-forge-1.20.1-12.0.2.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file corals-tfc-1.0.0-forge-1.20.1.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file corpse-forge-1.20.1-1.0.14.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file cosmeticarmorreworked-1.20.1-v1a.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file craftingtweaks-forge-1.20.1-18.2.5.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file CraftPresence-2.5.0+1.20.1-forge.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file create-1.20.1-0.5.1.f.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file create_connected-0.8.2-mc1.20.1-all.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file createaddition-1.20.1-1.2.4c.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file CreativeCore_FORGE_v2.12.15_mc1.20.1.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file Cucumber-1.20.1-7.0.12.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file cupboard-1.20.1-2.7.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file curios-forge-5.10.0+1.20.1.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file defaultoptions-forge-1.20-18.0.1.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file do_a_barrel_roll-forge-3.5.6+1.20.1.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file drippyloadingscreen_forge_3.0.1_MC_1.20.1.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file dynamiclightsreforged-1.20.1_v1.6.0.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file embeddium-0.3.19+mc1.20.1-all.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file embeddiumplus-1.20.1-v1.2.12.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file emi-1.1.7+1.20.1+forge.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file EnhancedVisuals_FORGE_v1.8.1_mc1.20.1.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file etched-3.0.2.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file exposure-1.20.1-1.7.7-forge.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file ExtendedAE-1.20-1.1.14-forge.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file fallingtrees-forge-0.12.7-1.20.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file fancymenu_forge_3.2.3_MC_1.20.1.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file ferritecore-6.0.1-forge.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file findme-3.2.1-forge.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file FirmaCivilization-0.2.10-alpha-1.20.1.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file Firmalife-1.20.1-2.1.3.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file firstperson-forge-2.4.5-mc1.20.1.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file flickerfix-1.20.1-4.0.1.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file FpsReducer2-forge-1.20-2.5.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file FramedBlocks-9.3.1.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file ftb-essentials-forge-2001.2.2.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file ftb-filter-system-forge-1.0.2.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file ftb-library-forge-2001.2.4.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file ftb-quests-forge-2001.4.8.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file ftb-ranks-forge-2001.1.3.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file ftb-teams-forge-2001.3.0.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file ftb-xmod-compat-forge-2.1.1.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file ftbbackups2-forge-1.20-1.0.23.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file gcyr-1.20.1-0.1.8.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file getittogetherdrops-forge-1.20-1.3.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file Glodium-1.20-1.5-forge.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file gtceu-1.20.1-1.2.3.a.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file HangGlider-v8.0.1-1.20.1-Forge.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file ImmediatelyFast-Forge-1.2.18+1.20.4.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file inventoryhud.forge.1.20.1-3.4.26.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file inventorysorter-1.20.1-23.0.1.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file ItemPhysicLite_FORGE_v1.6.5_mc1.20.1.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file Jade-1.20.1-forge-11.9.4.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file JadeAddons-1.20.1-forge-5.2.2.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file jei-1.20.1-forge-15.3.0.8.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file konkrete_forge_1.8.0_MC_1.20-1.20.1.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file Ksyxis-1.3.2.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file kubejs-create-forge-2001.2.5-build.2.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file kubejs-forge-2001.6.5-build.14.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file kubejs_tfc-1.20.1-1.1.3.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file letmedespawn-forge-1.3.2b.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file lootjs-forge-1.20.1-2.12.0.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file megacells-forge-2.4.4-1.20.1.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file melody_forge_1.0.3_MC_1.20.1-1.20.4.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file merequester-forge-1.20.1-1.1.5.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file modelfix-1.15.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file modernfix-forge-5.18.1+mc1.20.1.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file moonlight-1.20-2.13.2-forge.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file morered-1.20.1-4.0.0.4.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file MouseTweaks-forge-mc1.20.1-2.25.1.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file MyServerIsCompatible-1.20-1.0.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file nanhealthfixer-1.20.1-0.0.1.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file no-report-button-forge-1.5.0.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file noisium-forge-2.3.0+mc1.20-1.20.1.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file Not Enough Recipe Book-FORGE-0.4.1+1.20.1.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file notenoughanimations-forge-1.7.6-mc1.20.1.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file OctoLib-FORGE-0.4.2+1.20.1.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file oculus-mc1.20.1-1.7.0.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file open-parties-and-claims-forge-1.20.1-0.23.2.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file packetfixer-forge-1.4.2-1.19-to-1.20.1.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file pandalib-forge-0.4.2-1.20.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file Patchouli-1.20.1-84-FORGE.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file PickUpNotifier-v8.0.0-1.20.1-Forge.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file Placebo-1.20.1-8.6.2.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file PlayerRevive_FORGE_v2.0.27_mc1.20.1.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file polylib-forge-2000.0.3-build.143.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file PuzzlesLib-v8.1.23-1.20.1-Forge.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file radium-mc1.20.1-0.12.3+git.50c5c33.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file recipeessentials-1.20.1-3.6.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file rhino-forge-2001.2.2-build.18.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file saturn-mc1.20.1-0.1.3.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file Searchables-forge-1.20.1-1.0.3.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file Shimmer-forge-1.20.1-0.2.4.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file showcaseitem-1.20.1-1.2.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file simplylight-1.20.1-1.4.6-build.50.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file smoothboot(reloaded)-mc1.20.1-0.0.4.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file sophisticatedbackpacks-1.20.1-3.20.5.1044.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file sophisticatedcore-1.20.1-0.6.22.611.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file Steam_Rails-1.6.4+forge-mc1.20.1.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
[23:55:29] [main/INFO]: Found mod file supermartijn642configlib-1.1.8-forge-mc1.20.jar of type MOD with provider {mods folder locator at /home/jibbo/Documents/curseforge/minecraft/Instances/TerraFirmaGreg/mods}
